queue_id,query_id,query_customer_text,query_silver_intent,retrieved_rank,candidate_customer_tweet_id,candidate_intent,candidate_similarity,candidate_historical_customer,candidate_brand_reply,human_relevance_label,annotator,annotation_notes,status
ret_eval_04_rank3,silver_004,I don't know what it is. After my fb was locked out my spotify username on my laptop changed to a number,account_access_security,3,44692,device_connectivity,0.6147,@SpotifyCares I tried disconnecting this supposedly other Spotify acct from FB but I have not been able to,@125921 Can you DM us the email address that you use for Facebook? We'll take a look backstage /SY https://t.co/ldFdZRiNAt,,,,PENDING_HUMAN_ANNOTATION
ret_eval_05_rank1,silver_005,@SpotifyCares iphone 6s and i’m not sure but i’d assume the lastest update?,other_unsupported,1,176516,other_unsupported,0.6181,@SpotifyCares iPhone 6 on 3 ...it’s only happened recently all my updates are done so I don’t understand why,@157530 Thanks. Can you DM us your username or email address so we can take a closer look? /JU https://t.co/ldFdZRiNAt,,,,PENDING_HUMAN_ANNOTATION
ret_eval_05_rank2,silver_005,@SpotifyCares iphone 6s and i’m not sure but i’d assume the lastest update?,other_unsupported,2,33425,other_unsupported,0.601,@SpotifyCares iPhone 6s and version 11.1,@123395 2: things in order to improve Spotify. There's more info here: https://t.co/uon71wdZQZ /RS,,,,PENDING_HUMAN_ANNOTATION
ret_eval_05_rank3,silver_005,@SpotifyCares iphone 6s and i’m not sure but i’d assume the lastest update?,other_unsupported,3,33425,other_unsupported,0.601,@SpotifyCares iPhone 6s and version 11.1,@123395 Got it. It looks like you're seeing one of the changes that we've recently made to the app. We're always testing...,,,,PENDING_HUMAN_ANNOTATION
ret_eval_06_rank1,silver_006,@SpotifyCares does y’all promo that y’all have going on right now (.99¢ per month) go with student accounts also? Trying to decide if I️ want to subscribe or not since y’all also offer Hulu with the student accounts now also!,subscription_billing,1,167763,other_unsupported,0.6381,"@SpotifyCares if I have premium family account with Spotify, and I'm a student, can I still get the Hulu bundle?",@155026 Hi Julio! You'll need to leave your current Family plan in order to apply for the student discount + Hulu bundle. Hope this clears things up /WW,,,,PENDING_HUMAN_ANNOTATION
ret_eval_06_rank2,silver_006,@SpotifyCares does y’all promo that y’all have going on right now (.99¢ per month) go with student accounts also? Trying to decide if I️ want to subscribe or not since y’all also offer Hulu with the student accounts now also!,subscription_billing,2,169727,subscription_billing,0.633,@SpotifyCares I have a student premium acct. and for the past 2 months ive been charged full price and have not had access to hulu nor could i find a solution on the community forums/pages,"@155530 Hey Andrew, we're here to help! Could you DM us your account's username and email address? We'll take a look backstage /BX https://t.co/ldFdZRiNAt",,,,PENDING_HUMAN_ANNOTATION
ret_eval_06_rank3,silver_006,@SpotifyCares does y’all promo that y’all have going on right now (.99¢ per month) go with student accounts also? Trying to decide if I️ want to subscribe or not since y’all also offer Hulu with the student accounts now also!,subscription_billing,3,155385,subscription_billing,0.5519,"@SpotifyCares hello, i wanna ask. How bout the student who doesn't have any cc for payment? Can we still get that promo? https://t.co/uhTeTHgCkw",@151643 Hey there! Can you DM us your account's username or email address? We'll have a look backstage /AG https://t.co/ldFdZRiNAt,,,,PENDING_HUMAN_ANNOTATION
ret_eval_07_rank1,silver_007,@115888 It also tells me that my email is not associated with any account.,account_access_security,1,160577,account_access_security,0.6879,"@SpotifyCares  trying to sign into my account but seem to have 2 linked to 1 email address, when I reset my password it's for the wrong account. Any help appreciated","@152998 Hey Danny, we'd love to help! We've just replied to your DM. Let's continue chatting there /JP",,,,PENDING_HUMAN_ANNOTATION
ret_eval_07_rank2,silver_007,@115888 It also tells me that my email is not associated with any account.,account_access_security,2,189317,account_access_security,0.6488,"@SpotifyCares got an email to say my account email address was changed, but it wasn't me that changed it. Please help.",@160406 Hey there! Can you DM us your account's email address? We'll take a look backstage /RB https://t.co/ldFdZRiNAt,,,,PENDING_HUMAN_ANNOTATION
ret_eval_07_rank3,silver_007,@115888 It also tells me that my email is not associated with any account.,account_access_security,3,186175,account_access_security,0.6402,@SpotifyCares so I’ve just received an email saying my email has been changed and now I’m blocked Out my account?,"@159742 Hey there, help's here! We've just replied to your DM. Check it out. We'll continue helping there /RE",,,,PENDING_HUMAN_ANNOTATION
ret_eval_08_rank1,silver_008,@SpotifyCares you've got mail.,other_unsupported,1,53122,other_unsupported,0.4591,@SpotifyCares I've sent you a DM,@127970 We've just sent you a bit more info over DM. We'll carry on helping out there 🙂 /CG,,,,PENDING_HUMAN_ANNOTATION
ret_eval_08_rank2,silver_008,@SpotifyCares you've got mail.,other_unsupported,2,89512,account_access_security,0.431,@SpotifyCares I have an account question. Is there an email address I can write to? Thank you,"@135362 Hi Rosalind! You can get in touch with our Email team here: https://t.co/fSvGOEg6Tc. We can also help out via Twitter if you'd like. If you could DM us your account's email address, we'll check things backstage /CP https://t.co/ldFdZRiNAt",,,,PENDING_HUMAN_ANNOTATION
ret_eval_08_rank3,silver_008,@SpotifyCares you've got mail.,other_unsupported,3,131803,other_unsupported,0.3994,@SpotifyCares hello! I sent dm on your inbox... please check thanks!,@145718 Hi! We've just sent a DM your way. Let's carry on chatting there /DR,,,,PENDING_HUMAN_ANNOTATION
ret_eval_09_rank1,silver_009,@SpotifyCares any idea where my search keeps going? If I close and reopen it comes back. iOS 11.1 Spotify v8.4.25.906 https://t.co/wMXRSH7jZ8,app_crash_technical,1,118905,other_unsupported,0.6148,"@SpotifyCares iOS 11.2.2, Spotify 8.4.28.1104",@142363 Thanks for the info. Does logging out &gt; restarting your device &gt; logging back in help at all? We'll be on the lookout for your reply /MT,,,,PENDING_HUMAN_ANNOTATION
ret_eval_09_rank2,silver_009,@SpotifyCares any idea where my search keeps going? If I close and reopen it comes back. iOS 11.1 Spotify v8.4.25.906 https://t.co/wMXRSH7jZ8,app_crash_technical,2,48122,other_unsupported,0.6076,@SpotifyCares I've tried using 2 and for both cases search is kind of on-and-off. Usually off when I sleep my computer and go back to spotify,@126762 That's odd. Could you DM us your account's username or email address? We'll take a look backstage /GU https://t.co/ldFdZRiNAt,,,,PENDING_HUMAN_ANNOTATION
ret_eval_09_rank3,silver_009,@SpotifyCares any idea where my search keeps going? If I close and reopen it comes back. iOS 11.1 Spotify v8.4.25.906 https://t.co/wMXRSH7jZ8,app_crash_technical,3,174970,other_unsupported,0.5705,@SpotifyCares iOS 11.1.2 and Spotify 8.4.28.1104,"@157052 Thanks. Does logging out, restarting your device, and logging back in make a difference? /LO",,,,PENDING_HUMAN_ANNOTATION
ret_eval_10_rank1,silver_010,"Yo @115888, please add the album ""Guaranteed"" by Morris Day to your library!!",playlist_library,1,43461,playlist_library,0.5334,"@SpotifyCares Sure! It’s a concept album, so order is important. ☺️ Thanks! https://t.co/LRdM0G5fmo",@125642 Thanks. We'll get this reported. Great detective work! https://t.co/LpsmyUtme0 /PB,,,,PENDING_HUMAN_ANNOTATION
ret_eval_10_rank2,silver_010,"Yo @115888, please add the album ""Guaranteed"" by Morris Day to your library!!",playlist_library,2,93966,playlist_library,0.5143,"Yo @116130 @115888 !! I’ll make you a deal, if you get the #theworldistheirs album by #theIRS on Spotify I’ll sign up to premium for a year. Deal yeh? #supportUKHipHop",@136374 Hey there! Music availability all boils down to licensing agreements. We have more info here: https://t.co/2FJce6Rcpg. Let us know if we can help with anything else. We're just a tweet away /LM,,,,PENDING_HUMAN_ANNOTATION
ret_eval_10_rank3,silver_010,"Yo @115888, please add the album ""Guaranteed"" by Morris Day to your library!!",playlist_library,3,160579,other_unsupported,0.4714,@115888 I don't go on youtube very often and I'd love if you could add @3537' cover of the chain by Fleetwood Mac (@153000 live lounge) please?,"@152999 Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa 🙂 /JI",,,,PENDING_HUMAN_ANNOTATION
ret_eval_11_rank1,silver_011,@115888 How to avail?,other_unsupported,1,2884,other_unsupported,0.9037,@115888 How to avail???,@148615 Hey! Could you DM us your account’s email address? We’ll check this out backstage /DR https://t.co/ldFdZRiNAt,,,,PENDING_HUMAN_ANNOTATION
ret_eval_11_rank2,silver_011,@115888 How to avail?,other_unsupported,2,2885,other_unsupported,0.6145,@115888 How to avail this???coz i tried it earlier but i cant avail it...,"@149493 Hey there! Are you getting any error messages when trying to redeem the offer? If so, a screenshot of it would be super handy. Just make sure to mask all private information. Also, can you DM us your account's username or email address? We'll take a look backstage /MS https://t.co/ldFdZRiNAt",,,,PENDING_HUMAN_ANNOTATION
ret_eval_11_rank3,silver_011,@115888 How to avail?,other_unsupported,3,25403,subscription_billing,0.4604,@115888 How to avail this if you dont have credit card?,@150023 Hey Anja! You can use PayPal for this offer if you don't have a Visa/Master credit/debit card. You can also use your mobile credits to get our 3-month promo for 129 PHP. Hope this helps /JP,,,,PENDING_HUMAN_ANNOTATION
ret_eval_12_rank1,silver_012,Nothing working Spotify you really need to take care of this,other_unsupported,1,189954,other_unsupported,0.7603,"@SpotifyCares Hey, been having some issues with Spotify for Artists. Could I get some assistance please? Cheers!","@160534 Hey! Don’t worry, we can help. What’s happening exactly? We'll get to the bottom of it 🔍 /CG",,,,PENDING_HUMAN_ANNOTATION
ret_eval_12_rank2,silver_012,Nothing working Spotify you really need to take care of this,other_unsupported,2,115229,other_unsupported,0.7567,@SpotifyCares the supscription via the internet and vodaphone said it’s something i have to solve with spotify as they can’t help me,@141621 Copy that. Could you DM us your account's email address or username? We'll take a look under the hood /WP https://t.co/ldFdZRiNAt,,,,PENDING_HUMAN_ANNOTATION
ret_eval_12_rank3,silver_012,Nothing working Spotify you really need to take care of this,other_unsupported,3,52337,other_unsupported,0.7338,@SpotifyCares spotify pls :(,@127772 Hey there! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /KL,,,,PENDING_HUMAN_ANNOTATION
ret_eval_13_rank1,silver_013,Anyone else having issues with @115888 not playing any sound right now?,playback_issues,1,5009,playback_issues,0.618,@116888 @SpotifyCares Same exact issue. Sound won’t play more than 50% although i have it on full,@116887 Hey! The cavalry's here. Could you confirm the iOS and Spotify version you're using? We'll see what we can suggest /KB,,,,PENDING_HUMAN_ANNOTATION
ret_eval_13_rank2,silver_013,Anyone else having issues with @115888 not playing any sound right now?,playback_issues,2,169688,playback_issues,0.6061,@117153 Cant play anything! Is it just me or..?,"@155519 Hey Jouni, that doesn’t sound fun. Could you shoot us a DM with your account's username and email address? We'll take a look backstage /VV",,,,PENDING_HUMAN_ANNOTATION
ret_eval_13_rank3,silver_013,Anyone else having issues with @115888 not playing any sound right now?,playback_issues,3,104111,device_connectivity,0.5811,@SpotifyCares Seems to be affected by my Bluetooth headphones. No issues if I play using my phone's speakers,"@138951 Thanks for letting us know. Do you notice this issue happening with other apps? Also, does restarting your phone help at all? /JT",,,,PENDING_HUMAN_ANNOTATION
ret_eval_14_rank1,silver_014,"Several updates later, and I still want the lyrics feature back @115888 :(",feature_request_ui,1,138287,feature_request_ui,0.5786,@115888 how can I disable behind the lyrics? I hate that feature. I've done this and doesn't works https://t.co/m2eMgAu9ex,"@147149 Hey! Can you let us know the device, operating system, and Spotify version you're running? We'll see what we can suggest /KM",,,,PENDING_HUMAN_ANNOTATION
ret_eval_14_rank2,silver_014,"Several updates later, and I still want the lyrics feature back @115888 :(",feature_request_ui,2,139105,feature_request_ui,0.569,@115888 i like the fact that y'all had a good lyrics feature and deleted it in favor of a lyrics feature that is only supported on mainstream music,@147348 We hear you! We're passing on all feedback around this – thanks for sharing your thoughts /DR,,,,PENDING_HUMAN_ANNOTATION
ret_eval_14_rank3,silver_014,"Several updates later, and I still want the lyrics feature back @115888 :(",feature_request_ui,3,73743,feature_request_ui,0.5652,"@SpotifyCares pls help me, I just purchased premium, but the Behind Lyrics doesn't appear when I play one of the songs. I thought its because the device I have, Android. Bcs I logged in into iPhone, the Behind Lyrics appear. Thanks.","@132495 Hey, sorry for the confusion! We're afraid Behind the Lyrics is only available for iPhone 5 or above at this time. If you need anything else, give us a shout /TR",,,,PENDING_HUMAN_ANNOTATION
ret_eval_15_rank1,silver_015,@115888 y’all should let us see the total amount of streams of an album on the mobile version,playlist_library,1,858,playlist_library,0.6037,@SpotifyCares 2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲 https://t.co/RlWuqllt8S,"@115889 Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB",,,,PENDING_HUMAN_ANNOTATION
ret_eval_15_rank2,silver_015,@115888 y’all should let us see the total amount of streams of an album on the mobile version,playlist_library,2,91682,offline_downloads,0.6004,"@115888 I'm still not sure why the @115888 UI shows 4,000+ songs to download when it maxes out at 3,333.","@135882 Hey Monique!  Currently, you can only download 3,333 songs for offline use per device, on a maximum of 3 different devices. Hope this clears things up /AR",,,,PENDING_HUMAN_ANNOTATION
ret_eval_15_rank3,silver_015,@115888 y’all should let us see the total amount of streams of an album on the mobile version,playlist_library,3,50184,playlist_library,0.5382,@SpotifyCares I’m in the US and I don’t have a link to the album because it’s not streaming. :(,"@127243 We’d love to have all of his stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /KL",,,,PENDING_HUMAN_ANNOTATION
ret_eval_16_rank1,silver_016,"@SpotifyCares Helloe I purchased but it came to 9.99, can I get it for 0.99 like the ad says so? merrying christmas https://t.co/u9dEoDZ9fV",subscription_billing,1,79408,subscription_billing,0.5818,@SpotifyCares Question: what's the actual price of the chirstmas/black Friday deal? Is it £9.99 or £0.99? Just slightly confused haha x https://t.co/d33FDSKh5P,@142345 Hey there! Can you DM us your account's username or email address? We'll check backstage /NG https://t.co/ldFdZRiNAt,,,,PENDING_HUMAN_ANNOTATION
ret_eval_16_rank2,silver_016,"@SpotifyCares Helloe I purchased but it came to 9.99, can I get it for 0.99 like the ad says so? merrying christmas https://t.co/u9dEoDZ9fV",subscription_billing,2,106341,subscription_billing,0.5463,@115888 I've been charged £9.99 for 3 months even though your ad said £0.99 for 3 months https://t.co/KSrO6S7gOP,"@139563 Hi Kirsty, the cavalry's here! Can you DM us your account's username and email address? We'd love to help out /JI https://t.co/ldFdZRiNAt",,,,PENDING_HUMAN_ANNOTATION
ret_eval_16_rank3,silver_016,"@SpotifyCares Helloe I purchased but it came to 9.99, can I get it for 0.99 like the ad says so? merrying christmas https://t.co/u9dEoDZ9fV",subscription_billing,3,149363,other_unsupported,0.468,How can i avail this kind of promo?  @115888 https://t.co/lS6J6mA2ie,@145410 The 3 months for 9 PHP offer is for Spotify accounts which haven't been on Premium yet. Hope this info helps /GK,,,,PENDING_HUMAN_ANNOTATION
ret_eval_17_rank1,silver_017,@115888 Whhhhaattt ? My library isn't unlimited ?? https://t.co/AgjVsgpfZi,playlist_library,1,58284,playlist_library,0.5784,@SpotifyCares Why's there a 10K limit on songs in My Library? Why not unlimited? I just switched to Spotify from another and feel duped.,"@129237 Hey Matt, sorry to hear you feel that way. We have more info about this here: https://t.co/59ABtm5Ftl /JP",,,,PENDING_HUMAN_ANNOTATION
ret_eval_17_rank2,silver_017,@115888 Whhhhaattt ? My library isn't unlimited ?? https://t.co/AgjVsgpfZi,playlist_library,2,44688,subscription_billing,0.5704,@115888 library limit (10k songs) is a pretty big failure of premium streaming services. Shows the limits of subscription vs buying. 😕,@125920 Hi Ryan! Thanks for the feedback. We'll be sure to pass it onto the right team. Let us know if there's anything else we can do to help /DV,,,,PENDING_HUMAN_ANNOTATION
ret_eval_17_rank3,silver_017,@115888 Whhhhaattt ? My library isn't unlimited ?? https://t.co/AgjVsgpfZi,playlist_library,3,55223,app_crash_technical,0.5408,@SpotifyCares hey I just tried to save a new album to my library and it says my library is full. Is this a bug?,"@128524 Hey! If you have 10,000 songs in Your Music, you won't be able to add more. Anything else, we're here for you 🙂 /ND",,,,PENDING_HUMAN_ANNOTATION
ret_eval_18_rank1,silver_018,@SpotifyCares I need help with my family account. My wife can't login with the email invite I sent.,account_access_security,1,158928,account_access_security,0.6386,@SpotifyCares hello I need help I am trying to log in to my account but I forgot my password and i cant remember the email address i used for the account what do I do??,@152534 Hi! We've replied to your DM. We'll carry on helping there 🙂 /BX,,,,PENDING_HUMAN_ANNOTATION
ret_eval_18_rank2,silver_018,@SpotifyCares I need help with my family account. My wife can't login with the email invite I sent.,account_access_security,2,123485,other_unsupported,0.6384,@115888 just signed up for Family but can not invite any of them?  Any help?,"@125450 Hey there! Can you DM us your account's email address, as well as the ones linked to your families accounts? We'll take a look /RB https://t.co/ldFdZRiNAt",,,,PENDING_HUMAN_ANNOTATION
ret_eval_18_rank3,silver_018,@SpotifyCares I need help with my family account. My wife can't login with the email invite I sent.,account_access_security,3,12647,account_access_security,0.6008,@SpotifyCares.  Set up family premium. put wrong address. canceled. now can't set up new account w my email address. U make me pay? Help!,"@118533 Hey Michael, help's here! Can you DM us your account's email address? We'll take a look backstage /KC https://t.co/ldFdZRiNAt",,,,PENDING_HUMAN_ANNOTATION
ret_eval_19_rank1,silver_019,"@SpotifyCares why dont you have Tool in your Music database, i need Tool in my life, you need tool in your life so lets get much Tool.",other_unsupported,1,113808,other_unsupported,0.5,"@SpotifyCares You *REALLY* need to finally, actually, DO something about the 10,000 song limit in users' libraries. Especially for a service that prides itself on helping discovery of new tracks.","@141278 Hey there, we hear you! We’d love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69 /TB",,,,PENDING_HUMAN_ANNOTATION
ret_eval_19_rank2,silver_019,"@SpotifyCares why dont you have Tool in your Music database, i need Tool in my life, you need tool in your life so lets get much Tool.",other_unsupported,2,152212,other_unsupported,0.4557,C’mon @116130 this for real? Whatever happened to having your entire music collection online? 😕 https://t.co/thODgUlfok,"@150781 Hey Jude! How many tracks would you say you have in Songs (roughly)? e.g. 100, 1000, 5000, or more? /CO",,,,PENDING_HUMAN_ANNOTATION
ret_eval_19_rank3,silver_019,"@SpotifyCares why dont you have Tool in your Music database, i need Tool in my life, you need tool in your life so lets get much Tool.",other_unsupported,3,8693,other_unsupported,0.4344,"@115888 you guys trying to make it harder to load local music? ""BROWSE FOR MUSIC"" Show me the song I added instead. Don't BS users.",@117528 Hey there! Can you let us know what's happening exactly? We'd love to lend a hand /KC,,,,PENDING_HUMAN_ANNOTATION
ret_eval_20_rank1,silver_020,"@SpotifyCares I have had eactly the same issue on iphone ios 10.3, app 8.4 and ipad ios 9.3, app 8.4",other_unsupported,1,9380,other_unsupported,0.7429,@SpotifyCares Yes! It is a constant problem on the iOS 11 update. Like I said I’m not the only 1 encountering the problem.,@117673 Thanks. Can you try reinstalling the app? You can find the steps for your device at https://t.co/cxGHt0bCR8. Keep us posted /SJ,,,,PENDING_HUMAN_ANNOTATION
ret_eval_20_rank2,silver_020,"@SpotifyCares I have had eactly the same issue on iphone ios 10.3, app 8.4 and ipad ios 9.3, app 8.4",other_unsupported,2,142172,other_unsupported,0.6822,"@SpotifyCares im on iphone 7, and IOS11 and version 8.4.28","@148080 Thanks for that info. Does logging out, restarting your device, and logging back into Spotify help? Keep us posted /JI",,,,PENDING_HUMAN_ANNOTATION
ret_eval_20_rank3,silver_020,"@SpotifyCares I have had eactly the same issue on iphone ios 10.3, app 8.4 and ipad ios 9.3, app 8.4",other_unsupported,3,108057,other_unsupported,0.65,@SpotifyCares Issue persists on mobile… iPhone 7+ running iOS 11.1.2. https://t.co/Y60OdeFwXE,@139993 Gotcha. Can you send us a DM? We'd like to share some info with you in private /LM https://t.co/ldFdZRiNAt,,,,PENDING_HUMAN_ANNOTATION
ret_eval_21_rank1,silver_021,@115888 So can you use it just the same as pc ?,other_unsupported,1,23260,offline_downloads,0.3393,"@SpotifyCares hi,can i shuffle all download music in one touch?",@121069 Hey there! Can you fire over the device and operating system you're using? We'll see what we can suggest /PL,,,,PENDING_HUMAN_ANNOTATION
ret_eval_21_rank2,silver_021,@115888 So can you use it just the same as pc ?,other_unsupported,2,53130,other_unsupported,0.3368,"@SpotifyCares Seems to me u label music with a sexual preference, which is odd, and that music in turn with a user. Feels very inappropriate and not pc.","@124332 We're sorry you feel that way, and rest assured that's not the case. We've let the right folks know how you feel about this /Q",,,,PENDING_HUMAN_ANNOTATION
ret_eval_21_rank3,silver_021,@115888 So can you use it just the same as pc ?,other_unsupported,3,190057,other_unsupported,0.3287,"@SpotifyCares Yes, I tried that as well. Still not working.","@160564 Don't worry, we'll get to the bottom of this. Just to clarify, is it crashing at any specific points, e.g. at startup, during streaming? /RI",,,,PENDING_HUMAN_ANNOTATION
ret_eval_22_rank1,silver_022,@115888 You app continues to re-enable startup at login. Why are you forcing this? I mean this is still my mac right?,account_access_security,1,181684,playback_issues,0.7373,@115888 how can I stop your mac app from launching at startup? And why does it do so by default?,"@158686 Hey Joss! Just to check, have you disabled ""Open Spotify automatically adter you log into the computer"" through the desktop app's Settings? It's under ""Startup and Window Behaviour"" /RH",,,,PENDING_HUMAN_ANNOTATION
ret_eval_22_rank2,silver_022,@115888 You app continues to re-enable startup at login. Why are you forcing this? I mean this is still my mac right?,account_access_security,2,181682,other_unsupported,0.6737,"@SpotifyCares Ah, on by default and sneakily hidden under ""advanced settings"". I've switched it off. You should put it ""off"" by default, and make it enablable by the same Operating System level of configs which allows any mac app to be opened on startup.","@158686 We understand, and we appreciate the feedback! We'll pass it on to the relevant folks. Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /GS",,,,PENDING_HUMAN_ANNOTATION
ret_eval_22_rank3,silver_022,@115888 You app continues to re-enable startup at login. Why are you forcing this? I mean this is still my mac right?,account_access_security,3,2855,other_unsupported,0.5544,"@SpotifyCares I've been trying to select ""no"" for this option multiple times but every time after closing the settings, it goes right back to ""minimized."" I do not want this to boot up at startup. What gives? https://t.co/vX8vY4l0st",@116379 Hey Dylan! Can you let us know which versions of Spotify and Windows you're running? We'll see what we can suggest /RA,,,,PENDING_HUMAN_ANNOTATION
ret_eval_23_rank1,silver_023,"@SpotifyCares I installed the app and trying to signing up with Facebook and mail also but it's not working 😥
@115888",app_crash_technical,1,38328,account_access_security,0.7808,@SpotifyCares I cant sign in im new to your app and I have tried all my emails and it always says:An unknown error occurred try again later.,@124336 Hey Kosta! That doesn't sound good. Could you DM us your account's email address? We'll take a look backstage /AU,,,,PENDING_HUMAN_ANNOTATION
ret_eval_23_rank2,silver_023,"@SpotifyCares I installed the app and trying to signing up with Facebook and mail also but it's not working 😥
@115888",app_crash_technical,2,64386,device_connectivity,0.7271,@SpotifyCares hellow I need some help with this i cant connect with the facebook app https://t.co/gzAygdZrEV,"@130779 Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /KM https://t.co/ldFdZRiNAt",,,,PENDING_HUMAN_ANNOTATION
ret_eval_23_rank3,silver_023,"@SpotifyCares I installed the app and trying to signing up with Facebook and mail also but it's not working 😥
@115888",app_crash_technical,3,172444,other_unsupported,0.664,"@SpotifyCares Nope, doesn’t work 😔 I’m able to log on with my Facebook, but after that it just gives the same error.",@156297 Hmm. Could you send us your account's username or email address via DM? We'll take a look under the hood /LP https://t.co/ldFdZRiNAt,,,,PENDING_HUMAN_ANNOTATION
ret_eval_24_rank1,silver_024,@115888 A mi me lo cobraron dos veces,other_unsupported,1,156972,other_unsupported,0.3876,"Estoy en un plan familiar y soy el único que se le acabo el premium, que debo hacer? @SpotifyCares",@152054 ¡Hola! Hemos respondido a tu MD. Revisa tu bandeja de entrada /JF,,,,PENDING_HUMAN_ANNOTATION
ret_eval_24_rank2,silver_024,@115888 A mi me lo cobraron dos veces,other_unsupported,2,44346,other_unsupported,0.3802,@115888 badtrip di naman gumagana!!!!,@142356 Hi Yvonne! We hope you don't mind if we answer in English. What's happening exactly? We're here to help /GK,,,,PENDING_HUMAN_ANNOTATION
